Modelo,Total_Cup_Points,Prediccion
SVR,82.75,81.55291835706561
SVR,83.58,81.83642833518063
SVR,82.25,82.63217692220647
SVR,80.83,82.21234449103997
SVR,79.67,82.43667839439094
SVR,81.08,82.41624018693578
SVR,83.08,83.49044349368705
SVR,82.67,82.84872519642381
SVR,81.67,82.10476134174719
SVR,85.33,83.84236877667962
SVR,82.25,82.1879135816577
SVR,79.92,82.17937440841602
SVR,82.33,82.65623906661703
SVR,83.17,82.44429634237684
SVR,81.25,82.23134956742753
SVR,86.08,84.6121508759227
SVR,85.5,82.81709191762151
SVR,82.33,82.10492444284048
SVR,82.42,81.9180534784693
SVR,83.5,82.97889349570248
SVR,83.25,81.9235683808163
SVR,81.17,82.83186135543693
SVR,80.67,81.82138179061901
SVR,85.0,84.44246228601543
SVR,83.08,83.64915331025138
SVR,83.92,82.12434208960569
SVR,78.58,82.19561862396938
SVR,84.17,82.24791931629622
SVR,81.83,82.70830009032487
SVR,83.58,83.94196899264338
SVR,76.5,81.57934906559353
SVR,83.42,82.66713099838302
SVR,82.08,83.8586087920595
SVR,81.83,81.94912671479956
SVR,82.67,82.52242135408272
SVR,85.58,83.48342805408427
SVR,81.42,83.72155011501161
SVR,82.17,82.58560374800088
SVR,83.17,83.26388880658766
SVR,83.0,83.57984940359765
SVR,85.33,83.30645056123801
SVR,81.58,82.9561045506741
SVR,83.75,82.11069279518013
SVR,82.5,82.33003014087349
SVR,79.5,81.77701837495415
SVR,80.08,81.20279125348868
SVR,80.67,82.50830722928553
SVR,84.25,82.60885609136676
SVR,80.83,82.19957264671469
SVR,81.5,82.3829265097754
SVR,84.25,82.53052100205609
SVR,82.83,82.83107250297158
SVR,79.83,80.58987155685898
SVR,80.42,81.3243419232889
SVR,83.0,83.1156314140918
SVR,87.08,84.99534250646516
SVR,81.08,81.9431049884153
SVR,75.17,81.41864880409905
SVR,82.5,81.72384831428415
SVR,86.0,83.37464390707046
SVR,82.67,83.04636153310362
SVR,86.08,82.89906598673474
SVR,84.25,83.78144629523632
SVR,79.33,83.10505453866932
SVR,82.0,82.68418722448241
SVR,84.33,82.84920307937985
SVR,81.92,81.4981053738713
SVR,82.0,82.46740805488416
SVR,83.5,81.34637438566321
SVR,82.58,81.4134384686054
SVR,82.08,83.71506735253743
SVR,79.92,81.80281199895003
SVR,83.92,82.45995241222266
SVR,82.92,82.62950298128008
SVR,81.5,81.86258390397624
SVR,81.42,82.92515468720612
SVR,80.17,81.53390604488506
SVR,80.25,82.66812242757555
SVR,83.08,82.00495834429609
SVR,81.83,83.62153545258677
SVR,81.17,81.37841911633309
SVR,83.25,80.51033543162546
SVR,81.0,82.73302050732781
SVR,81.83,82.25220756981413
SVR,86.42,82.45078558900106
SVR,82.33,81.87651311039893
SVR,74.92,79.90954662639136
SVR,82.67,84.03299087498246
SVR,85.33,86.53054386939431
SVR,82.0,83.57773025971031
SVR,82.42,83.66098715065358
SVR,79.67,82.06553377627104
SVR,82.75,83.67202446112474
SVR,83.33,83.1156314140918
SVR,83.83,82.43424402255732
SVR,84.08,82.28673214199735
SVR,81.83,82.0288109019924
SVR,84.0,83.0191513088305
SVR,83.25,83.35490013900241
SVR,84.0,82.01009228786009
SVR,84.83,82.109308280946
SVR,81.0,82.5897063538719
SVR,84.0,82.85602428309038
SVR,83.25,83.63054449510932
SVR,84.13,83.23484526560556
SVR,81.75,81.9305720523721
SVR,82.67,83.48760834277992
SVR,83.33,83.59514163195873
SVR,84.25,82.96711632334686
SVR,83.33,81.99920519443428
SVR,84.0,81.90276947961584
SVR,82.83,81.21209229176841
SVR,82.33,83.64853651086844
SVR,85.83,82.97510154884972
SVR,76.33,81.52893151831661
SVR,82.33,81.63285033425021
SVR,82.75,82.97144516316492
SVR,75.5,80.41627818829154
SVR,82.67,81.59446391851083
SVR,81.83,82.16871998516056
SVR,83.0,83.68622081209791
SVR,81.08,81.52173229194379
SVR,86.0,84.30445754156509
SVR,83.17,82.35818150614288
SVR,83.17,83.05960755900877
SVR,82.92,82.96672114870927
SVR,85.17,82.98510228809386
SVR,80.67,83.00826335857145
SVR,84.75,82.17877600644684
SVR,84.0,82.39020208775896
SVR,80.75,82.80031393019
SVR,80.58,81.89899983835933
SVR,74.0,79.18937658373781
SVR,82.25,82.21491270856446
SVR,82.0,81.80247144273322
SVR,82.33,81.97579690017224
SVR,84.67,83.09341207700867
SVR,83.42,83.3970621754979
SVR,83.83,83.4700679018991
SVR,82.08,80.82248097489331
SVR,80.58,83.1156314140918
SVR,83.17,82.85324706725767
SVR,79.75,80.93090520676691
SVR,80.25,80.47568498647173
SVR,80.92,81.758949747414
SVR,80.0,81.0020370117279
SVR,79.42,80.91417529424709
SVR,86.58,82.92493909784787
SVR,82.83,81.95545982786207
SVR,83.0,82.56199796995661
SVR,86.5,83.48481291263712
SVR,83.67,82.51977824118853
SVR,83.83,82.43942348554877
SVR,83.33,82.81242576494522
SVR,84.17,84.86311074353176
SVR,85.42,82.49863765548243
SVR,82.92,81.71095230148971
SVR,84.08,84.04874905902568
SVR,83.5,82.67448324371499
SVR,81.5,81.38395512889483
SVR,78.75,80.47403205052589
SVR,83.92,82.10480738188357
SVR,82.0,82.35818150614288
SVR,83.58,82.6994082258589
SVR,82.92,83.73539227725838
SVR,86.0,84.01425413386602
SVR,84.92,82.1465779438688
SVR,84.58,82.98670157606013
SVR,83.17,81.82744380760465
SVR,82.0,80.96362163695345
SVR,81.67,82.05577637425954
SVR,84.17,81.95597895803246
SVR,82.17,83.64998308649446
SVR,73.5,82.3631240060658
SVR,78.5,80.89691450319893
SVR,81.08,85.17739360921587
