Species,Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Color,Category.Two.Defects,altitude_mean_meters,categoria_altitud,Nombre_Comercial,Puntaje_Real,Puntaje_Predicho,Clasificacion_Real,Clasificacion_Predicha,Acierto
Arabica,metad plc,Ethiopia,Other,300,60 kg,METAD Agricultural Development plc,"April 4th, 2015",Other,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,8.75,90.58,0.12,0,Green,0,2075.0,Premium (Arabica),Private Reserve MET,90.58,85.17884831219365,Premium,Premium,Sí
Arabica,metad plc,Ethiopia,Other,300,60 kg,METAD Agricultural Development plc,"April 4th, 2015",Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,8.58,89.92,0.12,0,Green,1,2075.0,Premium (Arabica),Private Reserve MET,89.92,85.18693014948963,Premium,Premium,Sí
Arabica,grounds for health admin,Guatemala,Other,5,1,Specialty Coffee Association,"May 31st, 2010",Bourbon,Washed / Wet,8.42,8.5,8.42,8.42,8.33,8.42,9.25,89.75,0.0,0,Green,0,1700.0,Alta (Arabica),Mill GRO,89.75,83.61743547973093,Premium,Premium,Sí
Arabica,yidnekachew dabessa,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"March 26th, 2015",Other,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,8.67,89.0,0.11,0,Green,2,2000.0,Premium (Arabica),Heritage YID,89.0,86.16865864736981,Premium,Premium,Sí
Arabica,metad plc,Ethiopia,Other,300,60 kg,METAD Agricultural Development plc,"April 4th, 2015",Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,8.58,88.83,0.12,0,Green,2,2075.0,Premium (Arabica),Private Reserve MET,88.83,85.16577998931437,Premium,Premium,Sí
Arabica,ji-ae ahn,Brazil,Other,100,30 kg,Specialty Coffee Institute of Asia,"September 3rd, 2013",Bourbon,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,8.33,88.83,0.11,0,Blue-Green,1,1000.0,Media (Arabica),Mill JI-,88.83,82.75605986855837,Premium,Premium,Sí
Arabica,hugo valdivia,Peru,Other,100,69 kg,Specialty Coffee Institute of Asia,"September 17th, 2012",Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,8.5,88.75,0.11,0,Blue-Green,0,1300.0,Media (Arabica),Mill HUG,88.75,83.20043221721373,Premium,Premium,Sí
Arabica,ethiopia commodity exchange,Ethiopia,Other,300,60 kg,Ethiopia Commodity Exchange,"September 2nd, 2010",Other,Natural / Dry,8.25,8.33,8.5,8.42,8.33,8.5,9.0,88.67,0.03,0,Green,0,1635.0,Alta (Arabica),Select Harvest ETH,88.67,86.05125261293483,Premium,Premium,Sí
Arabica,ethiopia commodity exchange,Ethiopia,Other,300,60 kg,Ethiopia Commodity Exchange,"September 2nd, 2010",Other,Natural / Dry,8.67,8.67,8.58,8.42,8.33,8.42,8.67,88.42,0.03,0,Green,0,1635.0,Alta (Arabica),Select Harvest ETH,88.42,86.05125261293483,Premium,Premium,Sí
Arabica,diamond enterprise plc,Ethiopia,Other,50,60 kg,METAD Agricultural Development plc,"March 30th, 2015",Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,8.5,88.25,0.1,0,Green,4,1822.5,Premium (Arabica),Private Reserve DIA,88.25,86.08344329432983,Premium,Premium,Sí
